,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
787,299.0,Iliman,Ndiaye,3,6.2,4.1,3,1.0,3.273494002919709
812,679.0,Mads,Hermansen,1,4.2,0.5,1,1.0,3.2675387555927236
388,236.0,Pedro,Lomba Neto,3,7.0,4.8,4,2.0,3.251803470355454
295,506.0,Murillo,Costa dos Santos,2,5.2,2.2,3,1.0,3.251611110257073
714,610.0,Aaron,Wan-Bissaka,2,4.1,4.5,1,1.0,3.2387291307012274
272,64.0,Ollie,Watkins,4,8.5,8.3,3,1.0,3.2372499116930578
436,300.0,Dwight,McNeil,3,5.5,0.1,3,1.0,3.2369031170018063
749,473.0,Lewis,Hall,2,5.4,3.7,3,1.0,3.236424417093181
381,85.0,Tyler,Adams,3,4.9,0.3,5,2.0,3.2126813991730256
535,730.0,Brian,Brobbey,4,5.3,0.6,2,1.0,3.211680682100718
102,126.0,Mathias,Jensen,3,4.9,0.1,3,1.0,3.206105561209811
506,356.0,Ilia,Gruev,3,4.7,0.1,4,2.0,3.18507403155565
141,593.0,Pape Matar,Sarr,3,4.5,1.1,3,1.0,3.179538641522902
188,591.0,Archie,Gray,3,4.8,0.2,3,1.0,3.1781446051160724
378,50.0,Emiliano,Buendía Stati,3,5.3,0.4,3,1.0,3.169105703462231
202,1.0,David,Raya Martín,1,6.0,32.2,3,1.0,3.154696180554576
738,258.0,Tyrick,Mitchell,2,5.0,2.2,3,1.0,3.1519907849922135
681,666.0,Viktor,Gyökeres,4,8.8,11.5,3,1.0,3.125544271344937
335,384.0,Cody,Gakpo,3,7.3,5.5,3,1.0,3.108193993588718
365,712.0,Yéremy,Pino Santos,3,5.8,0.2,3,1.0,3.106449271417229
314,791.0,Valentín,Castellanos,4,5.5,0.1,1,1.0,3.098357194600393
289,373.0,Virgil,van Dijk,2,6.3,30.4,3,1.0,3.0912056846197684
207,83.0,Dango,Ouattara,3,5.9,2.2,3,1.0,3.0847608064145735
773,113.0,Sepp,van den Berg,2,4.6,1.2,3,1.0,3.0811512611449077
727,7.0,Riccardo,Calafiori,2,5.6,6.0,3,1.0,3.074170193520707
737,253.0,Dean,Henderson,1,5.1,8.0,3,1.0,3.066197118439834
456,584.0,Mathys,Tel,3,6.2,0.1,3,1.0,3.0642412255069944
109,242.0,Kiernan,Dewsbury-Hall,3,5.1,4.3,3,1.0,3.0626345904782593
247,531.0,Daniel,Ballard,2,4.7,3.0,2,1.0,3.056650545423807
511,386.0,Alexis,Mac Allister,3,6.3,2.0,3,1.0,3.0546262258979713
785,287.0,Jordan,Pickford,1,5.6,12.9,3,1.0,3.0499487983487192
153,725.0,Piero,Hincapié,2,5.1,0.7,3,1.0,3.043453099658202
80,517.0,Elliot,Anderson,3,5.6,7.3,3,1.0,3.0433001345995825
429,206.0,Marcus,Edwards,3,4.7,0.1,3,2.0,3.0410819335881136
645,38.0,Ezri,Konsa Ngoyo,2,4.4,7.6,3,1.0,3.0329053336759393
478,16.0,Bukayo,Saka,3,9.8,7.2,3,1.0,3.0290535778859917
780,246.0,Andrey,Nascimento dos Santos,3,4.5,0.3,4,2.0,3.0011461996072555
747,442.0,Harry,Maguire,2,4.4,1.2,2,1.0,2.9983099870418126
555,256.0,Daniel,Muñoz Mejía,2,5.8,7.4,3,1.0,2.9922430482371163
675,606.0,Konstantinos,Mavropanos,2,4.4,0.6,1,1.0,2.9917457568578936
11,324.0,Alex,Iwobi,3,6.3,1.9,4,1.0,2.9909752675628725
500,273.0,Adam,Wharton,3,5.0,0.6,3,1.0,2.981458090823348
101,121.0,Mikkel,Damsgaard,3,5.6,0.8,3,1.0,2.9798884414104965
419,6.0,William,Saliba,2,6.1,13.4,3,1.0,2.978680757762532
572,507.0,Ola,Aina,2,4.7,2.4,3,1.0,2.972978558250542
448,458.0,Kobbie,Mainoo,3,4.7,1.0,2,1.0,2.971591459610905
536,733.0,Senne,Lammens,1,5.1,2.7,2,1.0,2.9606226994985425
83,565.0,Guglielmo,Vicario,1,4.7,5.1,3,1.0,2.9543423790743155
172,199.0,Joe,Worrall,2,3.8,0.2,3,2.0,2.9435455224017835
343,505.0,Nikola,Milenković,2,5.1,3.3,3,1.0,2.9406855859509227
789,335.0,Josh,King,3,4.4,1.8,4,1.0,2.910951061387649
652,124.0,Jordan,Henderson,3,5.0,0.3,3,1.0,2.9051862966093895
663,293.0,Jake,O'Brien,2,4.9,0.6,3,1.0,2.8989344623463533
317,20.0,Leandro,Trossard,3,6.5,0.8,3,1.0,2.8975152093161167
245,508.0,Neco,Williams,2,4.8,4.1,3,1.0,2.888299623512297
531,628.0,José,Malheiro de Sá,1,4.2,1.2,2,1.0,2.887942619596079
391,302.0,Idrissa Gana,Gueye,3,5.4,0.1,3,1.0,2.8850388841091843
643,812.0,Melker,Ellborg,1,4.0,0.1,2,1.0,2.872281751051628
305,684.0,Malick,Thiaw,2,5.1,5.6,3,1.0,2.8634507437309846
346,516.0,Callum,Hudson-Odoi,3,5.7,0.7,3,1.0,2.857984011453346
68,370.0,Jeremie,Frimpong,2,5.7,5.1,3,1.0,2.855045345604078
584,709.0,Ladislav,Krejcí,2,4.5,0.1,2,1.0,2.849204591016006
191,648.0,Marshall,Munetsi,3,5.3,0.0,2,1.0,2.8268376766278474
488,101.0,Caoimhín,Kelleher,1,4.8,12.2,3,1.0,2.8260258921517134
820,816.0,Angel,Gomes,3,4.7,0.0,2,1.0,2.8160324739092446
210,120.0,Kevin,Schade,3,7.0,1.7,3,1.0,2.814795159683675
159,32.0,Emiliano,Martínez Romero,1,5.1,4.4,3,1.0,2.806706468132308
614,292.0,Vitalii,Mykolenko,2,4.9,0.6,3,1.0,2.805214846997819
626,502.0,Matz,Sels,1,4.6,4.9,3,1.0,2.8004461039693633
631,634.0,Yerson,Mosquera Valdelamar,2,4.3,0.1,2,1.0,2.7913889709009077
585,720.0,Tolu,Arokodare,4,5.2,0.1,2,1.0,2.7733602376050923
740,295.0,Michael,Keane,2,4.5,2.8,3,1.0,2.7382163970719153
745,381.0,Mohamed,Salah,3,14.0,13.9,3,1.0,2.7074243162435816
100,107.0,Keane,Lewis-Potter,2,4.8,1.5,3,1.0,2.701722157210462
596,59.0,Amadou,Onana,3,4.8,0.7,3,1.0,2.6863098339930054
530,627.0,Sam,Johnstone,1,4.4,0.1,2,1.0,2.6826509782218952
560,337.0,Raúl,Jiménez Rodríguez,4,6.1,2.1,4,1.0,2.6803568109548443
257,681.0,Benjamin,Sesko,4,7.3,5.9,2,1.0,2.671314764223966
117,314.0,Bernd,Leno,1,4.9,1.8,4,1.0,2.668742355461579
276,111.0,Ethan,Pinnock,2,4.2,0.1,3,1.0,2.6569122950991813
377,31.0,Gabriel,Fernando de Jesus,4,6.4,0.3,3,1.0,2.6451981274076553
719,724.0,Lutsharel,Geertruida,2,4.5,0.1,2,1.0,2.643873560832747
595,37.0,Lucas,Digne,2,4.5,1.6,3,1.0,2.6288282189779335
483,52.0,Jacob,Ramsey,3,5.3,0.2,3,1.0,2.6263743876759946
10,266.0,Eberechi,Eze,3,7.2,7.7,3,1.0,2.6151009601564192
570,452.0,Amad,Diallo,3,6.2,1.4,2,1.0,2.5738978662390877
190,631.0,Emmanuel,Agbadou,2,4.2,0.1,2,1.0,2.5720177452559656
252,643.0,André,Trindade da Costa Neto,3,5.2,0.1,2,1.0,2.5681899554351713
708,440.0,Diogo,Dalot Teixeira,2,4.6,4.1,2,1.0,2.561526369686194
460,668.0,Granit,Xhaka,3,5.1,3.2,2,1.0,2.549227200857322
333,329.0,Harry,Wilson,3,6.0,20.2,4,1.0,2.5385618818362374
613,291.0,James,Tarkowski,2,5.7,11.3,3,1.0,2.532511933445489
718,674.0,Aaron,Ramsdale,1,4.8,0.8,3,1.0,2.5298755892023292
423,110.0,Michael,Kayode,2,4.6,1.0,3,1.0,2.527096254385454
662,276.0,Justin,Devenny,3,4.3,1.1,3,1.0,2.522124646454304
87,636.0,Santiago,Ignacio Bueno,2,4.4,0.1,2,1.0,2.5212163024844294
621,390.0,Ryan,Gravenberch,3,5.5,4.2,3,1.0,2.51656981579832
290,382.0,Florian,Wirtz,3,8.3,8.8,3,1.0,2.508935568705454
374,17.0,Martin,Ødegaard,3,7.8,1.5,3,1.0,2.506557124751608
580,633.0,Hugo,Bueno López,2,4.3,0.2,2,1.0,2.5042673144911496
753,526.0,Igor Jesus,Maciel da Cruz,4,5.8,1.2,3,1.0,2.490915477704046
568,443.0,Luke,Shaw,2,4.5,0.7,2,1.0,2.4856800012528786
