,player_id,first_name,second_name,position,curr_price,ownership_percent,chance_of_playing_next_round,fixture_difficulty,predicted_points
120,72.0,Marcos,Senesi Barón,2,5.2,20.8,100.0,3,3.1761715880614148
509,636.0,Santiago,Ignacio Bueno,2,4.4,0.1,100.0,2,3.175894691750738
413,382.0,Florian,Wirtz,3,8.3,9.1,100.0,4,3.1742567564740636
79,166.0,Yasin,Ayari,3,4.8,0.4,100.0,3,3.1180222415836685
299,388.0,Curtis,Jones,3,5.4,0.1,100.0,4,3.0732055915225347
338,507.0,Ola,Aina,2,4.7,2.4,75.0,3,3.048851178457867
199,407.0,Matheus,Nunes,2,5.3,2.9,100.0,3,3.038830083192783
466,603.0,El Hadji Malick,Diouf,2,4.1,2.5,100.0,3,3.0292539765407978
399,725.0,Piero,Hincapié,2,5.1,1.0,100.0,3,3.0253788594407323
394,646.0,João Victor,Gomes da Silva,3,5.3,0.4,100.0,2,3.0164344849592646
736,613.0,Tomáš,Souček,3,5.7,0.4,100.0,3,3.0046804876264828
115,614.0,James,Ward-Prowse,3,5.6,0.2,100.0,3,3.002850902197062
757,261.0,Chris,Richards,2,4.4,2.6,100.0,4,3.000354967981313
442,83.0,Dango,Ouattara,3,5.8,2.2,100.0,2,2.9926820207119325
665,475.0,Sven,Botman,2,4.9,0.4,100.0,3,2.987051272865038
731,488.0,Bruno,Guimarães Rodriguez Moura,3,6.8,4.7,100.0,3,2.9702627577751026
157,406.0,Abdukodir,Khusanov,2,5.4,0.6,100.0,3,2.9646829354771675
668,526.0,Igor Jesus,Maciel da Cruz,4,5.9,2.1,100.0,3,2.961550434962371
754,31.0,Gabriel,Fernando de Jesus,4,6.4,0.3,100.0,3,2.9600551962092982
40,230.0,Wesley,Fofana,2,4.4,0.4,100.0,3,2.9542170388887743
213,228.0,Malo,Gusto,2,4.9,2.0,100.0,3,2.928729211803073
153,260.0,Marc,Guéhi,2,5.1,32.7,100.0,3,2.9277110929318515
584,683.0,Omar,Alderete,2,4.1,5.8,100.0,2,2.925206754124298
114,493.0,Sean,Longstaff,3,4.8,0.2,100.0,1,2.9043823633177586
381,485.0,Anthony,Gordon,3,7.4,4.1,75.0,3,2.8909995599714344
525,329.0,Harry,Wilson,3,6.0,20.3,100.0,5,2.8840820891157257
721,292.0,Vitalii,Mykolenko,2,4.9,0.7,100.0,4,2.8791611226443363
89,351.0,Wilfried,Gnonto,3,5.1,0.1,100.0,1,2.844815530339005
383,500.0,William,Osula,4,5.4,0.6,100.0,3,2.8406028630409805
608,539.0,Luke,O'Nien,2,4.0,0.1,100.0,2,2.8338756041559834
690,293.0,Jake,O'Brien,2,4.9,0.7,100.0,4,2.810279250555569
179,97.0,Francisco Evanilson,de Lima Barbosa,4,6.7,2.5,100.0,3,2.8035523512516263
334,443.0,Luke,Shaw,2,4.5,0.9,75.0,3,2.793845956435303
151,224.0,Marc,Cucurella Saseta,2,6.1,14.9,100.0,3,2.789003807974388
441,48.0,Youri,Tielemans,3,5.9,0.7,100.0,3,2.784493152418202
48,191.0,Maxime,Estève,2,3.9,6.9,100.0,3,2.7714909954168023
468,643.0,André,Trindade da Costa Neto,3,5.2,0.1,100.0,2,2.75888023072234
649,7.0,Riccardo,Calafiori,2,5.6,5.8,100.0,3,2.7414003666063818
530,444.0,Leny,Yoro,2,4.1,1.3,100.0,3,2.741130398020284
122,167.0,Carlos,Baleba,3,4.5,1.5,100.0,3,2.734306716935837
439,36.0,Matty,Cash,2,4.7,8.2,100.0,3,2.7116886268275686
159,672.0,Jorrel,Hato,2,4.6,0.2,100.0,3,2.709485978620292
136,250.0,Liam,Delap,4,6.2,0.9,100.0,3,2.7072147384802383
586,708.0,Mateus Gonçalo,Espanha Fernandes,3,5.5,0.4,100.0,3,2.7022100109028164
21,173.0,Mats,Wieffer,3,4.9,0.5,100.0,3,2.688982831843683
331,374.0,Ibrahima,Konaté,2,5.5,4.1,100.0,4,2.6844818711344938
537,525.0,Chris,Wood,4,7.1,4.6,100.0,3,2.683504181708427
127,241.0,Moisés,Caicedo Corozo,3,5.7,7.3,100.0,3,2.6739176557261386
311,547.0,Enzo,Le Fée,3,4.8,1.6,100.0,2,2.672673996260844
92,402.0,Rayan,Aït-Nouri,2,5.7,4.2,100.0,3,2.657917517526372
759,302.0,Idrissa Gana,Gueye,3,5.4,0.1,100.0,4,2.6500983417272064
591,119.0,Bryan,Mbeumo,3,8.4,16.3,100.0,3,2.645758356709553
632,440.0,Diogo,Dalot Teixeira,2,4.6,4.2,100.0,3,2.64266066614518
589,6.0,William,Saliba,2,6.1,15.1,100.0,3,2.61761730497005
259,447.0,Ayden,Heaven,2,3.7,2.4,100.0,3,2.589767115654403
751,17.0,Martin,Ødegaard,3,7.8,1.6,75.0,3,2.574169820838126
382,490.0,Joelinton Cássio,Apolinário de Lira,3,5.9,0.3,100.0,3,2.55535087134042
17,86.0,David,Brooks,3,5.0,0.2,100.0,3,2.5544318398395625
715,37.0,Lucas,Digne,2,4.5,1.6,100.0,3,2.5519503483711623
