,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
263,398.0,Jayden,Danns,4,4.3,0.1,3,1.0,1.8072172859469287
220,375.0,Conor,Bradley,2,4.9,0.1,3,1.0,1.8072172859469287
222,383.0,Luis,Díaz Marulanda,3,8.0,0.0,3,1.0,1.8072172859469287
514,392.0,Endo,Wataru,3,4.9,0.1,3,1.0,1.8072172859469287
487,394.0,James,McConnell,3,4.4,0.0,3,1.0,1.8072172859469287
441,395.0,Tyler,Morton,3,4.5,0.0,3,1.0,1.8072172859469287
318,746.0,Kieran,Morrison,3,4.5,0.0,3,1.0,1.8072172859469287
239,661.0,Hugo,Ekitiké,4,9.1,19.9,3,1.0,1.8035226452856439
332,296.0,Nathan,Patterson,2,4.4,0.0,3,1.0,1.8029131988281997
29,731.0,Kevin,Santos Lopes de Macedo,3,5.7,0.1,3,1.0,1.8029131988281997
509,313.0,Martin,Sherif,4,4.4,0.1,3,1.0,1.8029131988281997
508,301.0,Carlos,Alcaraz Durán,3,5.2,0.1,3,1.0,1.8029131988281997
507,289.0,Harry,Tyrer,1,3.9,0.1,3,1.0,1.8029131988281997
390,323.0,Samuel,Amissah,2,3.8,0.1,3,1.0,1.8029131988281997
71,705.0,Elijah,Campbell,2,3.9,0.1,3,1.0,1.8029131988281997
323,779.0,Braiden,Graham,4,4.5,0.0,3,1.0,1.8029131988281997
70,704.0,Tyler,Onyango,3,4.5,0.0,3,1.0,1.8029131988281997
45,336.0,Harrison,Reed,3,4.3,0.3,3,1.0,1.8029131988281997
294,294.0,Séamus,Coleman,2,4.2,0.1,3,1.0,1.8029131988281997
125,419.0,Jack,Grealish,3,6.3,5.7,3,1.0,1.8029131988281997
218,308.0,Isaac,Heath,3,4.5,0.0,3,1.0,1.8029131988281997
480,298.0,Reece,Welch,2,3.8,0.2,3,1.0,1.8029131988281997
553,334.0,Luke,Harris,3,4.5,0.0,3,1.0,1.8029131988281997
439,321.0,Jorge,Cuenca Barreno,2,4.3,0.1,3,1.0,1.8029131988281997
216,297.0,Roman,Dixon,2,3.8,0.2,3,1.0,1.8029131988281997
240,664.0,Benjamin,Lecomte,1,3.9,0.7,3,1.0,1.8029131988281997
135,630.0,Tom,King,1,3.9,1.2,3,1.0,1.8029131988281997
241,667.0,Adam,Aznou,2,4.2,0.1,3,1.0,1.8029131988281997
243,707.0,Tyler,Dibling,3,5.3,0.0,3,1.0,1.8029131988281997
245,786.0,Alfie,McNally,1,4.0,0.0,3,1.0,1.8029131988281997
483,312.0,Youssef,Ramalho Chermiti,4,4.9,0.1,3,1.0,1.8029131988281997
436,306.0,Callum,Bates,3,4.3,0.1,3,1.0,1.8029131988281997
255,307.0,Coby,Ebere,3,4.4,0.0,3,1.0,1.8029131988281997
540,770.0,Seth,Ridgeon,3,4.5,0.0,3,1.0,1.8029131988281997
198,737.0,Jonah,Kusi-Asare,4,4.5,0.1,3,1.0,1.8029131988281997
482,309.0,Jenson,Metcalfe,3,4.5,0.0,3,1.0,1.8029131988281997
95,327.0,Andreas,Hoelgebaum Pereira,3,5.3,0.1,3,1.0,1.8029131988281997
11,333.0,Martial,Godo,3,4.5,0.0,3,1.0,1.8029131988281997
256,315.0,Steven,Benda,1,4.0,0.0,3,1.0,1.8029131988281997
551,288.0,Mark,Travers,1,4.2,0.1,3,1.0,1.8029131988281997
416,574.0,Destiny,Udogie,2,4.3,0.3,3,1.0,1.7976374961268378
541,773.0,Dean,Benamar,2,4.0,0.0,2,1.0,1.780983195356002
182,274.0,Asher,Agbinone,3,4.3,0.1,2,1.0,1.780983195356002
505,280.0,David,Ozoh,3,4.5,0.0,2,1.0,1.780983195356002
548,269.0,Romain,Esse,3,4.7,0.1,2,1.0,1.780983195356002
549,281.0,Kaden,Rodney,3,4.4,0.0,2,1.0,1.780983195356002
547,264.0,Rob,Holding,2,4.0,0.0,2,1.0,1.780983195356002
362,286.0,Zach,Marsh,4,4.4,0.3,2,1.0,1.780983195356002
41,259.0,Borna,Sosa,2,4.8,0.1,2,1.0,1.780983195356002
503,265.0,Caleb,Kporha,2,4.0,0.0,2,1.0,1.780983195356002
91,255.0,Remi,Matthews,1,3.9,0.1,2,1.0,1.780983195356002
506,282.0,Franco,Umeh-Chibueze,3,4.5,0.0,2,1.0,1.780983195356002
574,690.0,Rio,Cardines,3,4.4,0.3,2,1.0,1.780983195356002
476,275.0,Naouirou,Ahamada,3,4.3,0.0,2,1.0,1.780983195356002
324,798.0,Danny,Imray,2,4.0,0.0,2,1.0,1.780983195356002
293,277.0,Malcolm,Ebiowei,3,4.5,0.0,2,1.0,1.780983195356002
477,285.0,Odsonne,Édouard,4,5.0,0.2,2,1.0,1.780983195356002
317,732.0,Christantus,Uche,4,5.5,0.1,2,1.0,1.780983195356002
113,793.0,George,King,2,4.0,0.0,2,1.0,1.780983195356002
43,278.0,Jesurun,Rak-Sakyi,3,4.4,0.0,2,1.0,1.780983195356002
285,780.0,Ben,Casey,4,4.5,0.0,2,1.0,1.780983195356002
386,268.0,Cheick,Doucouré,3,4.9,0.0,2,1.0,1.780983195356002
9,279.0,Matheus,França de Oliveira,3,4.5,0.0,2,1.0,1.780983195356002
75,762.0,Joél,Drakes-Thomas,3,4.5,0.0,2,1.0,1.780983195356002
136,670.0,Robin,Roefs,1,4.8,9.2,4,1.0,1.7799908244931175
282,727.0,Samuel,Chukwueze,3,5.3,0.1,3,1.0,1.7711189155227738
469,808.0,Tammy,Abraham,4,5.8,0.2,2,1.0,1.7711122926331662
578,813.0,Nilson,Angulo,3,5.0,0.0,4,1.0,1.7700965946273164
437,310.0,Thierno,Barry,4,5.7,0.8,3,1.0,1.7696304858874257
162,522.0,Ryan,Yates,3,4.7,0.1,1,1.0,1.7663078866434063
51,466.0,Joshua,Zirkzee,4,5.8,0.4,3,1.0,1.7660794901258567
352,25.0,Ethan,Nwaneri,3,5.0,0.1,5,1.0,1.7525131759116555
374,728.0,Merlin,Röhl,3,5.0,0.0,3,1.0,1.75208066083323
511,325.0,Emile,Smith Rowe,3,5.6,0.5,3,1.0,1.7324556329522136
409,39.0,Ian,Maatsen,2,4.2,0.6,2,1.0,1.7283088114220266
410,49.0,Leon,Bailey,3,5.5,0.1,2,1.0,1.7272479103556158
570,669.0,Dan,Ndoye,3,5.5,0.7,1,1.0,1.7207101048305546
452,560.0,Wilson,Isidor,4,5.0,1.4,4,1.0,1.7072399031773746
30,735.0,Bertrand,Traoré,3,5.5,0.0,4,1.0,1.7072399031773746
50,456.0,Jadon,Sancho,3,5.8,0.2,2,1.0,1.7068452566103043
419,662.0,Cristhian,Mosquera,2,5.3,0.2,5,1.0,1.6998838410071013
576,718.0,Soungoutou,Magassa,3,5.0,0.0,3,1.0,1.694900316188259
577,792.0,Alysson Edward Franco,da Rocha dos Santos,3,5.0,0.0,2,1.0,1.6895369943655372
408,814.0,Luca,Netz,2,4.5,0.0,1,1.0,1.6852329072468082
424,734.0,Dilane,Bakwa,3,5.9,0.0,1,1.0,1.6852329072468082
545,135.0,Yoane,Wissa,4,7.3,0.6,3,1.0,1.6845041918582278
178,105.0,Hákon Rafn,Valdimarsson,1,3.8,1.1,3,1.0,1.6845041918582278
15,469.0,Nick,Pope,1,5.0,4.3,3,1.0,1.6845041918582278
206,27.0,Reiss,Nelson,3,4.8,0.1,3,1.0,1.6845041918582278
214,130.0,Romelle,Donovan,3,4.4,0.1,3,1.0,1.6845041918582278
376,812.0,Melker,Ellborg,1,4.0,0.1,4,1.0,1.677340727736739
471,24.0,Christian,Nørgaard,3,5.1,0.1,5,1.0,1.676160339909494
217,305.0,Harrison,Armstrong,3,4.5,0.1,3,1.0,1.6710056814366319
475,125.0,Vitaly,Janelt,3,4.9,0.1,3,1.0,1.6699827610221674
228,486.0,Anthony,Elanga,3,6.5,2.7,3,1.0,1.6661054948585892
191,587.0,Yves,Bissouma,3,5.2,0.0,3,1.0,1.6606815047019794
33,766.0,Saheed,Olagunju,2,4.0,0.0,3,1.0,1.6595428095425024
68,653.0,Joe,Hodge,3,4.5,0.0,3,1.0,1.6595428095425024
466,649.0,Boubacar,Traoré,3,5.0,0.0,3,1.0,1.6595428095425024
465,640.0,Pedro,Cardoso de Lima,2,4.0,0.4,3,1.0,1.6595428095425024
468,777.0,Temple,Ojinnaka,3,4.5,0.0,3,1.0,1.6595428095425024
313,657.0,Leon,Chiwome,4,4.4,0.0,3,1.0,1.6595428095425024
108,658.0,Nathan,Fraser,4,4.2,1.8,3,1.0,1.6595428095425024
80,778.0,Ethan,Sutherland,3,4.5,0.0,3,1.0,1.6595428095425024
248,809.0,Jerome,Abbey,3,4.5,0.0,3,1.0,1.6595428095425024
26,639.0,Bastien,Meupiyou Menadjou,2,4.0,0.0,3,1.0,1.6595428095425024
278,647.0,Gonçalo Manuel,Ganchinho Guedes,3,5.5,0.0,3,1.0,1.6595428095425024
